WeekID,Week Position,Song,Performer,SongID,Instance,Previous Week Position,Peak Position,Weeks on Chart,
12/21/2013,44,Summertime Sadness,Lana Del Rey & Cedric Gervais,Summertime SadnessLana Del Rey & Cedric Gervais,1,41,6,22,
12/28/2013,49,Summertime Sadness,Lana Del Rey & Cedric Gervais,Summertime SadnessLana Del Rey & Cedric Gervais,1,44,6,23,
7/5/1997,94,Summertime Summertime,Corina,Summertime SummertimeCorina,1,,94,1,
7/12/1997,86,Summertime Summertime,Corina,Summertime SummertimeCorina,1,94,86,2,
7/19/1997,94,Summertime Summertime,Corina,Summertime SummertimeCorina,1,86,86,3,
7/26/1997,92,Summertime Summertime,Corina,Summertime SummertimeCorina,1,94,86,4,
8/2/1997,94,Summertime Summertime,Corina,Summertime SummertimeCorina,1,92,86,5,
8/9/1997,93,Summertime Summertime,Corina,Summertime SummertimeCorina,1,94,86,6,
8/16/1997,88,Summertime Summertime,Corina,Summertime SummertimeCorina,1,93,86,7,
8/23/1997,95,Summertime Summertime,Corina,Summertime SummertimeCorina,1,88,86,8,
8/16/1958,74,"Summertime, Summertime",The Jamies,"Summertime, SummertimeThe Jamies",1,,74,1,
8/23/1958,61,"Summertime, Summertime",The Jamies,"Summertime, SummertimeThe Jamies",1,74,61,2,
8/30/1958,57,"Summertime, Summertime",The Jamies,"Summertime, SummertimeThe Jamies",1,61,57,3,
9/6/1958,48,"Summertime, Summertime",The Jamies,"Summertime, SummertimeThe Jamies",1,57,48,4,
9/13/1958,30,"Summertime, Summertime",The Jamies,"Summertime, SummertimeThe Jamies",1,48,30,5,
9/20/1958,26,"Summertime, Summertime",The Jamies,"Summertime, SummertimeThe Jamies",1,30,26,6,
9/27/1958,28,"Summertime, Summertime",The Jamies,"Summertime, SummertimeThe Jamies",1,26,26,7,
10/4/1958,36,"Summertime, Summertime",The Jamies,"Summertime, SummertimeThe Jamies",1,28,26,8,
10/11/1958,45,"Summertime, Summertime",The Jamies,"Summertime, SummertimeThe Jamies",1,36,26,9,
10/18/1958,81,"Summertime, Summertime",The Jamies,"Summertime, SummertimeThe Jamies",1,45,26,10,
10/25/1958,99,"Summertime, Summertime",The Jamies,"Summertime, SummertimeThe Jamies",1,81,26,11,
6/23/1962,95,"Summertime, Summertime",The Jamies,"Summertime, SummertimeThe Jamies",2,,95,12,
6/30/1962,80,"Summertime, Summertime",The Jamies,"Summertime, SummertimeThe Jamies",2,95,80,13,
7/7/1962,68,"Summertime, Summertime",The Jamies,"Summertime, SummertimeThe Jamies",2,80,68,14,
7/14/1962,59,"Summertime, Summertime",The Jamies,"Summertime, SummertimeThe Jamies",2,68,59,15,
7/21/1962,52,"Summertime, Summertime",The Jamies,"Summertime, SummertimeThe Jamies",2,59,52,16,
7/28/1962,45,"Summertime, Summertime",The Jamies,"Summertime, SummertimeThe Jamies",2,52,45,17,
8/4/1962,38,"Summertime, Summertime",The Jamies,"Summertime, SummertimeThe Jamies",2,45,38,18,
8/11/1962,46,"Summertime, Summertime",The Jamies,"Summertime, SummertimeThe Jamies",2,38,38,19,
1/17/1987,91,"Summertime, Summertime",Nocera,"Summertime, SummertimeNocera",1,,91,1,
1/24/1987,94,"Summertime, Summertime",Nocera,"Summertime, SummertimeNocera",1,91,91,2,
1/31/1987,90,"Summertime, Summertime",Nocera,"Summertime, SummertimeNocera",1,94,90,3,
2/7/1987,90,"Summertime, Summertime",Nocera,"Summertime, SummertimeNocera",1,90,90,4,
2/14/1987,87,"Summertime, Summertime",Nocera,"Summertime, SummertimeNocera",1,90,87,5,
2/21/1987,84,"Summertime, Summertime",Nocera,"Summertime, SummertimeNocera",1,87,84,6,
2/28/1987,95,"Summertime, Summertime",Nocera,"Summertime, SummertimeNocera",1,84,84,7,
7/29/2006,95,Sunshine And Summertime,Faith Hill,Sunshine And SummertimeFaith Hill,1,,95,1,
8/5/2006,87,Sunshine And Summertime,Faith Hill,Sunshine And SummertimeFaith Hill,1,95,87,2,
8/12/2006,82,Sunshine And Summertime,Faith Hill,Sunshine And SummertimeFaith Hill,1,87,82,3,
8/19/2006,78,Sunshine And Summertime,Faith Hill,Sunshine And SummertimeFaith Hill,1,82,78,4,
8/26/2006,73,Sunshine And Summertime,Faith Hill,Sunshine And SummertimeFaith Hill,1,78,73,5,
9/2/2006,73,Sunshine And Summertime,Faith Hill,Sunshine And SummertimeFaith Hill,1,73,73,6,
9/9/2006,70,Sunshine And Summertime,Faith Hill,Sunshine And SummertimeFaith Hill,1,73,70,7,
9/16/2006,75,Sunshine And Summertime,Faith Hill,Sunshine And SummertimeFaith Hill,1,70,70,8,
9/23/2006,79,Sunshine And Summertime,Faith Hill,Sunshine And SummertimeFaith Hill,1,75,70,9,
9/30/2006,95,Sunshine And Summertime,Faith Hill,Sunshine And SummertimeFaith Hill,1,79,70,10,
9/29/1979,90,Sweet Summer Lovin',Dolly Parton,Sweet Summer Lovin'Dolly Parton,1,,90,1,
10/6/1979,78,Sweet Summer Lovin',Dolly Parton,Sweet Summer Lovin'Dolly Parton,1,90,78,2,
10/13/1979,77,Sweet Summer Lovin',Dolly Parton,Sweet Summer Lovin'Dolly Parton,1,78,77,3,
9/4/1976,97,Sweet Summer Music,Attitudes,Sweet Summer MusicAttitudes,1,,97,1,
9/11/1976,96,Sweet Summer Music,Attitudes,Sweet Summer MusicAttitudes,1,97,96,2,
9/18/1976,95,Sweet Summer Music,Attitudes,Sweet Summer MusicAttitudes,1,96,95,3,
9/25/1976,95,Sweet Summer Music,Attitudes,Sweet Summer MusicAttitudes,1,95,95,4,
10/2/1976,94,Sweet Summer Music,Attitudes,Sweet Summer MusicAttitudes,1,95,94,5,
10/9/1976,94,Sweet Summer Music,Attitudes,Sweet Summer MusicAttitudes,1,94,94,6,
8/31/1963,97,"That Sunday, That Summer",Nat King Cole,"That Sunday, That SummerNat King Cole",1,,97,1,
9/7/1963,79,"That Sunday, That Summer",Nat King Cole,"That Sunday, That SummerNat King Cole",1,97,79,2,
9/14/1963,63,"That Sunday, That Summer",Nat King Cole,"That Sunday, That SummerNat King Cole",1,79,63,3,
9/21/1963,53,"That Sunday, That Summer",Nat King Cole,"That Sunday, That SummerNat King Cole",1,63,53,4,
9/28/1963,35,"That Sunday, That Summer",Nat King Cole,"That Sunday, That SummerNat King Cole",1,53,35,5,
10/5/1963,28,"That Sunday, That Summer",Nat King Cole,"That Sunday, That SummerNat King Cole",1,35,28,6,
10/12/1963,13,"That Sunday, That Summer",Nat King Cole,"That Sunday, That SummerNat King Cole",1,28,13,7,
10/19/1963,13,"That Sunday, That Summer",Nat King Cole,"That Sunday, That SummerNat King Cole",1,13,13,8,
10/26/1963,13,"That Sunday, That Summer",Nat King Cole,"That Sunday, That SummerNat King Cole",1,13,13,9,
11/2/1963,12,"That Sunday, That Summer",Nat King Cole,"That Sunday, That SummerNat King Cole",1,13,12,10,
11/9/1963,16,"That Sunday, That Summer",Nat King Cole,"That Sunday, That SummerNat King Cole",1,12,12,11,
11/16/1963,27,"That Sunday, That Summer",Nat King Cole,"That Sunday, That SummerNat King Cole",1,16,12,12,
11/23/1963,35,"That Sunday, That Summer",Nat King Cole,"That Sunday, That SummerNat King Cole",1,27,12,13,
11/10/1984,63,The Boys Of Summer,Don Henley,The Boys Of SummerDon Henley,1,,63,1,
11/17/1984,53,The Boys Of Summer,Don Henley,The Boys Of SummerDon Henley,1,63,53,2,
11/24/1984,48,The Boys Of Summer,Don Henley,The Boys Of SummerDon Henley,1,53,48,3,
12/1/1984,42,The Boys Of Summer,Don Henley,The Boys Of SummerDon Henley,1,48,42,4,
12/8/1984,34,The Boys Of Summer,Don Henley,The Boys Of SummerDon Henley,1,42,34,5,
12/15/1984,29,The Boys Of Summer,Don Henley,The Boys Of SummerDon Henley,1,34,29,6,
12/22/1984,27,The Boys Of Summer,Don Henley,The Boys Of SummerDon Henley,1,29,27,7,
12/29/1984,27,The Boys Of Summer,Don Henley,The Boys Of SummerDon Henley,1,27,27,8,
1/5/1985,19,The Boys Of Summer,Don Henley,The Boys Of SummerDon Henley,1,27,19,9,
1/12/1985,16,The Boys Of Summer,Don Henley,The Boys Of SummerDon Henley,1,19,16,10,
1/19/1985,12,The Boys Of Summer,Don Henley,The Boys Of SummerDon Henley,1,16,12,11,
1/26/1985,8,The Boys Of Summer,Don Henley,The Boys Of SummerDon Henley,1,12,8,12,
2/2/1985,6,The Boys Of Summer,Don Henley,The Boys Of SummerDon Henley,1,8,6,13,
2/9/1985,5,The Boys Of Summer,Don Henley,The Boys Of SummerDon Henley,1,6,5,14,
2/16/1985,9,The Boys Of Summer,Don Henley,The Boys Of SummerDon Henley,1,5,5,15,
2/23/1985,15,The Boys Of Summer,Don Henley,The Boys Of SummerDon Henley,1,9,5,16,
3/2/1985,26,The Boys Of Summer,Don Henley,The Boys Of SummerDon Henley,1,15,5,17,
3/9/1985,39,The Boys Of Summer,Don Henley,The Boys Of SummerDon Henley,1,26,5,18,
3/16/1985,66,The Boys Of Summer,Don Henley,The Boys Of SummerDon Henley,1,39,5,19,
3/23/1985,71,The Boys Of Summer,Don Henley,The Boys Of SummerDon Henley,1,66,5,20,
3/30/1985,84,The Boys Of Summer,Don Henley,The Boys Of SummerDon Henley,1,71,5,21,
4/6/1985,94,The Boys Of Summer,Don Henley,The Boys Of SummerDon Henley,1,84,5,22,
7/26/2003,71,The Boys Of Summer,The Ataris,The Boys Of SummerThe Ataris,1,,71,1,
8/2/2003,60,The Boys Of Summer,The Ataris,The Boys Of SummerThe Ataris,1,71,60,2,
8/9/2003,55,The Boys Of Summer,The Ataris,The Boys Of SummerThe Ataris,1,60,55,3,
8/16/2003,44,The Boys Of Summer,The Ataris,The Boys Of SummerThe Ataris,1,55,44,4,
8/23/2003,36,The Boys Of Summer,The Ataris,The Boys Of SummerThe Ataris,1,44,36,5,
8/30/2003,32,The Boys Of Summer,The Ataris,The Boys Of SummerThe Ataris,1,36,32,6,
9/6/2003,27,The Boys Of Summer,The Ataris,The Boys Of SummerThe Ataris,1,32,27,7,
9/13/2003,23,The Boys Of Summer,The Ataris,The Boys Of SummerThe Ataris,1,27,23,8,
9/20/2003,20,The Boys Of Summer,The Ataris,The Boys Of SummerThe Ataris,1,23,20,9,
9/27/2003,20,The Boys Of Summer,The Ataris,The Boys Of SummerThe Ataris,1,20,20,10,
10/4/2003,23,The Boys Of Summer,The Ataris,The Boys Of SummerThe Ataris,1,20,20,11,
10/11/2003,32,The Boys Of Summer,The Ataris,The Boys Of SummerThe Ataris,1,23,20,12,
10/18/2003,41,The Boys Of Summer,The Ataris,The Boys Of SummerThe Ataris,1,32,20,13,
10/25/2003,55,The Boys Of Summer,The Ataris,The Boys Of SummerThe Ataris,1,41,20,14,
11/1/2003,61,The Boys Of Summer,The Ataris,The Boys Of SummerThe Ataris,1,55,20,15,
11/8/2003,75,The Boys Of Summer,The Ataris,The Boys Of SummerThe Ataris,1,61,20,16,
11/15/2003,85,The Boys Of Summer,The Ataris,The Boys Of SummerThe Ataris,1,75,20,17,
11/22/2003,94,The Boys Of Summer,The Ataris,The Boys Of SummerThe Ataris,1,85,20,18,
6/9/1984,79,The First Day Of Summer,Tony Carey,The First Day Of SummerTony Carey,1,,79,1,
6/16/1984,62,The First Day Of Summer,Tony Carey,The First Day Of SummerTony Carey,1,79,62,2,
6/23/1984,53,The First Day Of Summer,Tony Carey,The First Day Of SummerTony Carey,1,62,53,3,
6/30/1984,47,The First Day Of Summer,Tony Carey,The First Day Of SummerTony Carey,1,53,47,4,
7/7/1984,42,The First Day Of Summer,Tony Carey,The First Day Of SummerTony Carey,1,47,42,5,
7/14/1984,36,The First Day Of Summer,Tony Carey,The First Day Of SummerTony Carey,1,42,36,6,
7/21/1984,33,The First Day Of Summer,Tony Carey,The First Day Of SummerTony Carey,1,36,33,7,
7/28/1984,43,The First Day Of Summer,Tony Carey,The First Day Of SummerTony Carey,1,33,33,8,
8/4/1984,54,The First Day Of Summer,Tony Carey,The First Day Of SummerTony Carey,1,43,33,9,
8/11/1984,68,The First Day Of Summer,Tony Carey,The First Day Of SummerTony Carey,1,54,33,10,
8/18/1984,97,The First Day Of Summer,Tony Carey,The First Day Of SummerTony Carey,1,68,33,11,
10/29/1960,100,The Green Leaves Of Summer,The Brothers Four,The Green Leaves Of SummerThe Brothers Four,1,,100,1,
11/5/1960,90,The Green Leaves Of Summer,The Brothers Four,The Green Leaves Of SummerThe Brothers Four,1,100,90,2,
11/12/1960,82,The Green Leaves Of Summer,The Brothers Four,The Green Leaves Of SummerThe Brothers Four,1,90,82,3,
11/19/1960,78,The Green Leaves Of Summer,The Brothers Four,The Green Leaves Of SummerThe Brothers Four,1,82,78,4,
11/26/1960,65,The Green Leaves Of Summer,The Brothers Four,The Green Leaves Of SummerThe Brothers Four,1,78,65,5,
12/3/1960,65,The Green Leaves Of Summer,The Brothers Four,The Green Leaves Of SummerThe Brothers Four,1,65,65,6,
12/10/1960,85,The Green Leaves Of Summer,The Brothers Four,The Green Leaves Of SummerThe Brothers Four,1,65,65,7,
6/2/1962,95,The Green Leaves Of Summer,Kenny Ball and his Jazzmen,The Green Leaves Of SummerKenny Ball and his Jazzmen,1,,95,1,
6/9/1962,94,The Green Leaves Of Summer,Kenny Ball and his Jazzmen,The Green Leaves Of SummerKenny Ball and his Jazzmen,1,95,94,2,
6/16/1962,92,The Green Leaves Of Summer,Kenny Ball and his Jazzmen,The Green Leaves Of SummerKenny Ball and his Jazzmen,1,94,92,3,
6/23/1962,91,The Green Leaves Of Summer,Kenny Ball and his Jazzmen,The Green Leaves Of SummerKenny Ball and his Jazzmen,1,92,91,4,
6/30/1962,91,The Green Leaves Of Summer,Kenny Ball and his Jazzmen,The Green Leaves Of SummerKenny Ball and his Jazzmen,1,91,91,5,
7/7/1962,87,The Green Leaves Of Summer,Kenny Ball and his Jazzmen,The Green Leaves Of SummerKenny Ball and his Jazzmen,1,91,87,6,
6/13/1964,99,The Magic Of Our Summer Love,The Tymes,The Magic Of Our Summer LoveThe Tymes,1,,99,1,
1/9/1960,96,"The Theme From ""A Summer Place""",Percy Faith And His Orchestra,"The Theme From ""A Summer Place""Percy Faith And His Orchestra",1,,96,1,
1/16/1960,43,"The Theme From ""A Summer Place""",Percy Faith And His Orchestra,"The Theme From ""A Summer Place""Percy Faith And His Orchestra",1,96,43,2,
1/23/1960,28,"The Theme From ""A Summer Place""",Percy Faith And His Orchestra,"The Theme From ""A Summer Place""Percy Faith And His Orchestra",1,43,28,3,
1/30/1960,19,"The Theme From ""A Summer Place""",Percy Faith And His Orchestra,"The Theme From ""A Summer Place""Percy Faith And His Orchestra",1,28,19,4,
2/6/1960,12,"The Theme From ""A Summer Place""",Percy Faith And His Orchestra,"The Theme From ""A Summer Place""Percy Faith And His Orchestra",1,19,12,5,
2/13/1960,6,"The Theme From ""A Summer Place""",Percy Faith And His Orchestra,"The Theme From ""A Summer Place""Percy Faith And His Orchestra",1,12,6,6,
2/20/1960,1,"The Theme From ""A Summer Place""",Percy Faith And His Orchestra,"The Theme From ""A Summer Place""Percy Faith And His Orchestra",1,6,1,7,
2/27/1960,1,"The Theme From ""A Summer Place""",Percy Faith And His Orchestra,"The Theme From ""A Summer Place""Percy Faith And His Orchestra",1,1,1,8,
3/5/1960,1,"The Theme From ""A Summer Place""",Percy Faith And His Orchestra,"The Theme From ""A Summer Place""Percy Faith And His Orchestra",1,1,1,9,
3/12/1960,1,"The Theme From ""A Summer Place""",Percy Faith And His Orchestra,"The Theme From ""A Summer Place""Percy Faith And His Orchestra",1,1,1,10,
3/19/1960,1,"The Theme From ""A Summer Place""",Percy Faith And His Orchestra,"The Theme From ""A Summer Place""Percy Faith And His Orchestra",1,1,1,11,
3/26/1960,1,"The Theme From ""A Summer Place""",Percy Faith And His Orchestra,"The Theme From ""A Summer Place""Percy Faith And His Orchestra",1,1,1,12,
4/2/1960,1,"The Theme From ""A Summer Place""",Percy Faith And His Orchestra,"The Theme From ""A Summer Place""Percy Faith And His Orchestra",1,1,1,13,
4/9/1960,1,"The Theme From ""A Summer Place""",Percy Faith And His Orchestra,"The Theme From ""A Summer Place""Percy Faith And His Orchestra",1,1,1,14,
4/16/1960,1,"The Theme From ""A Summer Place""",Percy Faith And His Orchestra,"The Theme From ""A Summer Place""Percy Faith And His Orchestra",1,1,1,15,
4/23/1960,4,"The Theme From ""A Summer Place""",Percy Faith And His Orchestra,"The Theme From ""A Summer Place""Percy Faith And His Orchestra",1,1,1,16,
4/30/1960,9,"The Theme From ""A Summer Place""",Percy Faith And His Orchestra,"The Theme From ""A Summer Place""Percy Faith And His Orchestra",1,4,1,17,
5/7/1960,18,"The Theme From ""A Summer Place""",Percy Faith And His Orchestra,"The Theme From ""A Summer Place""Percy Faith And His Orchestra",1,9,1,18,
5/14/1960,35,"The Theme From ""A Summer Place""",Percy Faith And His Orchestra,"The Theme From ""A Summer Place""Percy Faith And His Orchestra",1,18,1,19,
5/21/1960,52,"The Theme From ""A Summer Place""",Percy Faith And His Orchestra,"The Theme From ""A Summer Place""Percy Faith And His Orchestra",1,35,1,20,
5/28/1960,74,"The Theme From ""A Summer Place""",Percy Faith And His Orchestra,"The Theme From ""A Summer Place""Percy Faith And His Orchestra",1,52,1,21,
9/15/1962,82,The Things We Did Last Summer,Shelley Fabares,The Things We Did Last SummerShelley Fabares,1,,82,1,
9/22/1962,62,The Things We Did Last Summer,Shelley Fabares,The Things We Did Last SummerShelley Fabares,1,82,62,2,
9/29/1962,55,The Things We Did Last Summer,Shelley Fabares,The Things We Did Last SummerShelley Fabares,1,62,55,3,
10/6/1962,50,The Things We Did Last Summer,Shelley Fabares,The Things We Did Last SummerShelley Fabares,1,55,50,4,
10/13/1962,46,The Things We Did Last Summer,Shelley Fabares,The Things We Did Last SummerShelley Fabares,1,50,46,5,
10/20/1962,62,The Things We Did Last Summer,Shelley Fabares,The Things We Did Last SummerShelley Fabares,1,46,46,6,
6/26/1965,67,"Theme From ""A Summer Place""",The Lettermen,"Theme From ""A Summer Place""The Lettermen",1,,67,1,
7/3/1965,56,"Theme From ""A Summer Place""",The Lettermen,"Theme From ""A Summer Place""The Lettermen",1,67,56,2,
7/10/1965,46,"Theme From ""A Summer Place""",The Lettermen,"Theme From ""A Summer Place""The Lettermen",1,56,46,3,
7/17/1965,35,"Theme From ""A Summer Place""",The Lettermen,"Theme From ""A Summer Place""The Lettermen",1,46,35,4,
7/24/1965,26,"Theme From ""A Summer Place""",The Lettermen,"Theme From ""A Summer Place""The Lettermen",1,35,26,5,
7/31/1965,19,"Theme From ""A Summer Place""",The Lettermen,"Theme From ""A Summer Place""The Lettermen",1,26,19,6,
8/7/1965,16,"Theme From ""A Summer Place""",The Lettermen,"Theme From ""A Summer Place""The Lettermen",1,19,16,7,
8/14/1965,32,"Theme From ""A Summer Place""",The Lettermen,"Theme From ""A Summer Place""The Lettermen",1,16,16,8,
8/21/1965,43,"Theme From ""A Summer Place""",The Lettermen,"Theme From ""A Summer Place""The Lettermen",1,32,16,9,
6/28/1969,100,"Theme From ""A Summer Place""",The Ventures,"Theme From ""A Summer Place""The Ventures",1,,100,1,
7/5/1969,97,"Theme From ""A Summer Place""",The Ventures,"Theme From ""A Summer Place""The Ventures",1,100,97,2,
7/12/1969,84,"Theme From ""A Summer Place""",The Ventures,"Theme From ""A Summer Place""The Ventures",1,97,84,3,
7/19/1969,83,"Theme From ""A Summer Place""",The Ventures,"Theme From ""A Summer Place""The Ventures",1,84,83,4,
7/26/1969,83,"Theme From ""A Summer Place""",The Ventures,"Theme From ""A Summer Place""The Ventures",1,83,83,5,
10/16/1971,91,"Theme From ""Summer Of '42""",Peter Nero,"Theme From ""Summer Of '42""Peter Nero",1,,91,1,
10/23/1971,81,"Theme From ""Summer Of '42""",Peter Nero,"Theme From ""Summer Of '42""Peter Nero",1,91,81,2,
10/30/1971,76,"Theme From ""Summer Of '42""",Peter Nero,"Theme From ""Summer Of '42""Peter Nero",1,81,76,3,
11/6/1971,58,"Theme From ""Summer Of '42""",Peter Nero,"Theme From ""Summer Of '42""Peter Nero",1,76,58,4,
11/13/1971,43,"Theme From ""Summer Of '42""",Peter Nero,"Theme From ""Summer Of '42""Peter Nero",1,58,43,5,
11/20/1971,31,"Theme From ""Summer Of '42""",Peter Nero,"Theme From ""Summer Of '42""Peter Nero",1,43,31,6,
11/27/1971,29,"Theme From ""Summer Of '42""",Peter Nero,"Theme From ""Summer Of '42""Peter Nero",1,31,29,7,
12/4/1971,24,"Theme From ""Summer Of '42""",Peter Nero,"Theme From ""Summer Of '42""Peter Nero",1,29,24,8,
12/11/1971,21,"Theme From ""Summer Of '42""",Peter Nero,"Theme From ""Summer Of '42""Peter Nero",1,24,21,9,
12/18/1971,21,"Theme From ""Summer Of '42""",Peter Nero,"Theme From ""Summer Of '42""Peter Nero",1,21,21,10,
12/25/1971,29,"Theme From ""Summer Of '42""",Peter Nero,"Theme From ""Summer Of '42""Peter Nero",1,21,21,11,
1/1/1972,31,"Theme From ""Summer Of '42""",Peter Nero,"Theme From ""Summer Of '42""Peter Nero",1,29,21,12,
1/8/1972,40,"Theme From ""Summer Of '42""",Peter Nero,"Theme From ""Summer Of '42""Peter Nero",1,31,21,13,
5/30/2015,67,This Summer's Gonna Hurt...,Maroon 5,This Summer's Gonna Hurt...Maroon 5,1,,67,1,
6/6/2015,31,This Summer's Gonna Hurt...,Maroon 5,This Summer's Gonna Hurt...Maroon 5,1,67,31,2,
6/13/2015,30,This Summer's Gonna Hurt...,Maroon 5,This Summer's Gonna Hurt...Maroon 5,1,31,30,3,
6/20/2015,23,This Summer's Gonna Hurt...,Maroon 5,This Summer's Gonna Hurt...Maroon 5,1,30,23,4,
6/27/2015,25,This Summer's Gonna Hurt...,Maroon 5,This Summer's Gonna Hurt...Maroon 5,1,23,23,5,
7/4/2015,25,This Summer's Gonna Hurt...,Maroon 5,This Summer's Gonna Hurt...Maroon 5,1,25,23,6,
7/11/2015,24,This Summer's Gonna Hurt...,Maroon 5,This Summer's Gonna Hurt...Maroon 5,1,25,23,7,
7/18/2015,27,This Summer's Gonna Hurt...,Maroon 5,This Summer's Gonna Hurt...Maroon 5,1,24,23,8,
7/25/2015,32,This Summer's Gonna Hurt...,Maroon 5,This Summer's Gonna Hurt...Maroon 5,1,27,23,9,
8/1/2015,41,This Summer's Gonna Hurt...,Maroon 5,This Summer's Gonna Hurt...Maroon 5,1,32,23,10,
8/8/2015,64,This Summer's Gonna Hurt...,Maroon 5,This Summer's Gonna Hurt...Maroon 5,1,41,23,11,
8/15/2015,73,This Summer's Gonna Hurt...,Maroon 5,This Summer's Gonna Hurt...Maroon 5,1,64,23,12,
8/22/2015,93,This Summer's Gonna Hurt...,Maroon 5,This Summer's Gonna Hurt...Maroon 5,1,73,23,13,
5/11/1963,70,Those Lazy-Hazy-Crazy Days Of Summer,Nat King Cole,Those Lazy-Hazy-Crazy Days Of SummerNat King Cole,1,,70,1,
5/18/1963,47,Those Lazy-Hazy-Crazy Days Of Summer,Nat King Cole,Those Lazy-Hazy-Crazy Days Of SummerNat King Cole,1,70,47,2,
5/25/1963,25,Those Lazy-Hazy-Crazy Days Of Summer,Nat King Cole,Those Lazy-Hazy-Crazy Days Of SummerNat King Cole,1,47,25,3,
6/1/1963,16,Those Lazy-Hazy-Crazy Days Of Summer,Nat King Cole,Those Lazy-Hazy-Crazy Days Of SummerNat King Cole,1,25,16,4,
6/8/1963,9,Those Lazy-Hazy-Crazy Days Of Summer,Nat King Cole,Those Lazy-Hazy-Crazy Days Of SummerNat King Cole,1,16,9,5,
6/15/1963,7,Those Lazy-Hazy-Crazy Days Of Summer,Nat King Cole,Those Lazy-Hazy-Crazy Days Of SummerNat King Cole,1,9,7,6,
6/22/1963,7,Those Lazy-Hazy-Crazy Days Of Summer,Nat King Cole,Those Lazy-Hazy-Crazy Days Of SummerNat King Cole,1,7,7,7,
6/29/1963,6,Those Lazy-Hazy-Crazy Days Of Summer,Nat King Cole,Those Lazy-Hazy-Crazy Days Of SummerNat King Cole,1,7,6,8,
7/6/1963,12,Those Lazy-Hazy-Crazy Days Of Summer,Nat King Cole,Those Lazy-Hazy-Crazy Days Of SummerNat King Cole,1,6,6,9,
7/13/1963,18,Those Lazy-Hazy-Crazy Days Of Summer,Nat King Cole,Those Lazy-Hazy-Crazy Days Of SummerNat King Cole,1,12,6,10,
7/20/1963,33,Those Lazy-Hazy-Crazy Days Of Summer,Nat King Cole,Those Lazy-Hazy-Crazy Days Of SummerNat King Cole,1,18,6,11,
7/27/1963,53,Those Lazy-Hazy-Crazy Days Of Summer,Nat King Cole,Those Lazy-Hazy-Crazy Days Of SummerNat King Cole,1,33,6,12,
1/30/2010,92,'Til Summer Comes Around,Keith Urban,'Til Summer Comes AroundKeith Urban,1,,92,1,
2/6/2010,90,'Til Summer Comes Around,Keith Urban,'Til Summer Comes AroundKeith Urban,1,92,90,2,
2/13/2010,86,'Til Summer Comes Around,Keith Urban,'Til Summer Comes AroundKeith Urban,1,90,86,3,
2/20/2010,85,'Til Summer Comes Around,Keith Urban,'Til Summer Comes AroundKeith Urban,1,86,85,4,
2/27/2010,79,'Til Summer Comes Around,Keith Urban,'Til Summer Comes AroundKeith Urban,1,85,79,5,
3/6/2010,82,'Til Summer Comes Around,Keith Urban,'Til Summer Comes AroundKeith Urban,1,79,79,6,
3/13/2010,69,'Til Summer Comes Around,Keith Urban,'Til Summer Comes AroundKeith Urban,1,82,69,7,
3/20/2010,64,'Til Summer Comes Around,Keith Urban,'Til Summer Comes AroundKeith Urban,1,69,64,8,
3/27/2010,59,'Til Summer Comes Around,Keith Urban,'Til Summer Comes AroundKeith Urban,1,64,59,9,
4/3/2010,63,'Til Summer Comes Around,Keith Urban,'Til Summer Comes AroundKeith Urban,1,59,59,10,
4/10/2010,59,'Til Summer Comes Around,Keith Urban,'Til Summer Comes AroundKeith Urban,1,63,59,11,
4/17/2010,63,'Til Summer Comes Around,Keith Urban,'Til Summer Comes AroundKeith Urban,1,59,59,12,
4/24/2010,58,'Til Summer Comes Around,Keith Urban,'Til Summer Comes AroundKeith Urban,1,63,58,13,
5/1/2010,72,'Til Summer Comes Around,Keith Urban,'Til Summer Comes AroundKeith Urban,1,58,58,14,
5/8/2010,82,'Til Summer Comes Around,Keith Urban,'Til Summer Comes AroundKeith Urban,1,72,58,15,
5/15/2010,94,'Til Summer Comes Around,Keith Urban,'Til Summer Comes AroundKeith Urban,1,82,58,16,
9/1/1990,85,Violence Of Summer (Love's Taking Over),Duran Duran,Violence Of Summer (Love's Taking Over)Duran Duran,1,,85,1,
9/8/1990,73,Violence Of Summer (Love's Taking Over),Duran Duran,Violence Of Summer (Love's Taking Over)Duran Duran,1,85,73,2,
9/15/1990,68,Violence Of Summer (Love's Taking Over),Duran Duran,Violence Of Summer (Love's Taking Over)Duran Duran,1,73,68,3,
9/22/1990,66,Violence Of Summer (Love's Taking Over),Duran Duran,Violence Of Summer (Love's Taking Over)Duran Duran,1,68,66,4,
9/29/1990,64,Violence Of Summer (Love's Taking Over),Duran Duran,Violence Of Summer (Love's Taking Over)Duran Duran,1,66,64,5,
10/6/1990,72,Violence Of Summer (Love's Taking Over),Duran Duran,Violence Of Summer (Love's Taking Over)Duran Duran,1,64,64,6,
10/13/1990,93,Violence Of Summer (Love's Taking Over),Duran Duran,Violence Of Summer (Love's Taking Over)Duran Duran,1,72,64,7,
8/5/1995,90,Warm Summer Daze,Vybe,Warm Summer DazeVybe,1,,90,1,
8/12/1995,84,Warm Summer Daze,Vybe,Warm Summer DazeVybe,1,90,84,2,
8/19/1995,84,Warm Summer Daze,Vybe,Warm Summer DazeVybe,1,84,84,3,
8/26/1995,81,Warm Summer Daze,Vybe,Warm Summer DazeVybe,1,84,81,4,
