geoid,name,year,total_est,total_se,aian_se,aian_est,api_se,api_est,asian_se,asian_est,black_se,black_est,hisp_se,hisp_est,nhisp_se,nhisp_est,nhopi_se,nhopi_est,nhwhite_se,nhwhite_est,nnhwhite_se,nnhwhite_est,other_se,other_est,othermore_se,othermore_est,twomore_se,twomore_est,white_se,white_est
01000US,United States,2009,16266255,35590.14591959955,2323.024543714582,45628,16362.88354023218,5118198,16222.07734213279,5084025,13897.37142618127,1517488,22715.1091843414,5133211,42221.25852973758,11133044,2142.000106690743,34173,22472.96498802859,4388541,42091.47944574468,11877714,15503.80250958635,1671470,16258.02369317038,1939579,4894.429706455414,268109,28619.06263716998,7645362
01000US,United States,2010,16857000,40032.99198154752,2077.634468706168,43551,18347.18612306675,5383012,18258.18275400147,5350345,12355.47736528031,1592548,23541.49072661862,5365431,46441.81556126029,11491569,1804.993394984186,32667,22168.05452560001,4259383,45760.93408623368,12597617,13875.33728330966,1610640,15708.82216719455,2066895,7364.924246381621,456255,29082.73942027954,7770994
01000US,United States,2011,17525414,38640.6086069201,2096.495987180976,42301,18255.90908817863,5542811,18154.9479279818,5508230,15876.06552690962,1671314,24819.49132109543,5598532,45924.97994502685,11926882,1917.311234023375,34581,21062.7144862735,4454357,44008.34665200981,13071057,13924.85913995974,1642777,15828.85670206244,2107867,7526.686018873549,465090,30523.66303828905,8161121
01000US,United States,2012,18065893,37145.0497957503,2080.42222926868,48298,17688.26749086809,5741499,17545.81290134377,5702422,13003.20711415846,1736063,21554.22153359275,5876901,42945.77034176896,12188992,2240.369714921953,39077,19160.21993945742,4471244,41795.55900400366,13594649,13822.82972126552,1693124,15329.1671504374,2170348,6626.669149953677,477224,27689.19223540017,8369685
01000US,United States,2013,18653262,42218.92796563,2385.60007055764,45417,19799.96002258243,6012919,19700.14017551929,5979475,15224.56671931377,1853671,21866.09062021697,6013305,47545.38671184193,12639957,1985.672168499472,33444,23026.16866055993,4537623,48089.93992252025,14115639,14034.64587161066,1799322,15590.46623877388,2224071,6789.061260647905,424749,31641.41270577419,8517184
01000US,United States,2014,19339283,38574.03370996441,2439.902122551674,51772,18174.70717941934,6232322,18068.62443451628,6193584,14741.75034539306,1974181,22750.62552146277,6315046,44783.33438094247,13024237,1960.814142655555,38738,20166.76381543214,4576954,43527.62846106934,14762329,13210.31232998259,1874114,15096.23565256459,2321255,7306.434083879243,447141,28690.19473896343,8759753
01000US,United States,2015,20035937,40267.46381257278,2488.693318722105,57199,19492.43754997497,6473174,19354.05109245552,6428364,13780.63648709487,2089808,26296.81232298856,6551371,48093.56485276737,13484566,2318.583177351065,44810,21700.91178311794,4671704,45742.73946885479,15364233,14792.17423048498,1957883,16590.22470199916,2404278,7511.799864067131,446395,30102.51393927942,9011478
01000US,United States,2016,20572703,41374.52221722577,2484.645984017367,53633,19032.10769725457,6562794,18898.38711455287,6520863,16285.23792139184,2187493,25600.91246655585,6796470,48654.47366711476,13776233,2252.129629572547,41931,20039.20367094983,4756601,45971.95636982961,15816102,16823.20878593197,2080688,18283.07079951097,2563469,7158.933161084258,482781,29597.27816265202,9205314
01000US,United States,2017,21293367,41222.11820226696,3000.703046751502,67456,18464.39528371983,6814787,18344.93612340756,6769625,16943.07707761601,2283057,26790.35542553706,7157688,49162.85358793031,14135679,2096.952985059885,45162,23333.92221243934,4778982,47368.07949345042,16514385,15676.49430820523,2183275,17665.17664162027,2674611,8142.849131873658,491336,33040.34077713943,9453456
